x,y
0.0,1000.0
13.0,1000.0

13.0,1000.0
26.0,1000.0

26.0,1000.0
39.0,1000.0

39.0,1000.0
52.0,1000.0

52.0,1000.0
65.0,1000.0

65.0,1000.0
78.0,1000.0

78.0,1000.0
91.0,1000.0

91.0,1000.0
104.0,999.0

104.0,999.0
117.0,999.0

117.0,999.0
130.0,999.0

130.0,999.0
143.0,999.0

143.0,999.0
156.0,999.0

156.0,999.0
169.0,999.0

169.0,999.0
182.0,999.0

182.0,999.0
195.0,999.0

195.0,999.0
208.0,999.0

208.0,999.0
221.0,999.0

221.0,999.0
234.0,999.0

234.0,999.0
247.0,999.0

247.0,999.0
260.0,999.0
