x,y
0.0,53.0
8.0,53.0

8.0,53.0
16.0,53.0

16.0,53.0
24.0,53.0

24.0,53.0
32.0,53.0

32.0,53.0
40.0,53.0

40.0,53.0
48.0,53.0

48.0,53.0
56.0,53.0

56.0,53.0
64.0,53.0

64.0,53.0
72.0,53.0

72.0,53.0
80.0,54.0

80.0,54.0
88.0,54.0

88.0,54.0
96.0,54.0

96.0,54.0
104.0,54.0

104.0,54.0
112.0,54.0

112.0,54.0
120.0,54.0

120.0,54.0
128.0,54.0

128.0,54.0
136.0,54.0

136.0,54.0
144.0,54.0

144.0,54.0
152.0,54.0

152.0,54.0
160.0,54.0

160.0,54.0
168.0,54.0

168.0,54.0
176.0,54.0

176.0,54.0
184.0,54.0

184.0,54.0
192.0,54.0

192.0,54.0
200.0,54.0

200.0,54.0
208.0,54.0

208.0,54.0
216.0,54.0

216.0,54.0
224.0,54.0

224.0,54.0
232.0,54.0

232.0,54.0
240.0,54.0

240.0,54.0
248.0,54.0

248.0,54.0
256.0,54.0

256.0,54.0
264.0,55.0
